ID_run	Type
SRR5657430	M. bovis
SRR5657431	M. bovis
SRR5657440	M. bovis
SRR5657443	M. bovis
SRR5657445	M. bovis
SRR5657446	M. bovis
SRR5657452	M. bovis
SRR5657455	M. bovis
SRR5657456	M. bovis
SRR5657465	M. bovis
SRR5657475	M. bovis
SRR5657476	M. bovis
SRR5657478	M. bovis
SRR5657481	M. bovis
SRR5657482	M. bovis
SRR5657484	M. bovis
SRR5657485	M. bovis
SRR5657492	M. bovis
SRR5657493	M. bovis
SRR5657494	M. bovis
SRR5657505	M. bovis
SRR5657507	M. bovis
SRR5657515	M. bovis
SRR5657518	M. bovis
SRR5657521	M. bovis
ERR1815538	M. bovis
ERR1815539	M. bovis
ERR1815540	M. bovis
ERR1815541	M. bovis
ERR1815543	M. bovis
ERR1815544	M. bovis
ERR1815545	M. bovis
ERR1815549	M. bovis
SRR5430090	M. bovis
SRR5430091	M. bovis
SRR5430098	M. bovis
SRR5430569	M. bovis
SRR5430746	M. bovis
SRR5430747	M. bovis
SRR5430750	M. bovis
SRR5431720	M. bovis
SRR5431732	M. bovis
ERR2516545	M. bovis
ERR2199797	M. bovis
ERR2512675	M. bovis
ERR2512755	M. bovis
ERR2512838	M. bovis
ERR2512839	M. bovis
SRR6045806	M. bovis
SRR6044919	M. bovis
ERR2513428	M. bovis
ERR2513607	M. bovis
ERR2514144	M. bovis
ERR2514583	M. bovis
ERR2514837	M. bovis
ERR2515016	M. bovis
ERR2516207	M. bovis
ERR2516262	M. bovis
ERR2516335	M. bovis
ERR2199785	M. bovis
ERR2200072	M. bovis
ERR2517408	M. bovis
ERR2517425	M. bovis
ERR2517616	M. bovis
ERR2517518	M. bovis
ERR2517443	M. bovis
ERR2517349	M. bovis
ERR2517523	M. bovis
ERR2517227	M. bovis
ERR2815614	M. bovis
ERR2815613	M. bovis
ERR2815609	M. bovis
ERR2815607	M. bovis
ERR2815605	M. bovis
ERR2815603	M. bovis
ERR2815601	M. bovis
ERR2815599	M. bovis
ERR2815598	M. bovis
ERR2815597	M. bovis
ERR2815596	M. bovis
ERR2815595	M. bovis
ERR2815594	M. bovis
ERR2815593	M. bovis
ERR2815589	M. bovis
ERR2815588	M. bovis
ERR2815587	M. bovis
ERR2815585	M. bovis
ERR2815584	M. bovis
ERR2815583	M. bovis
ERR2815582	M. bovis
ERR2815580	M. bovis
ERR2815579	M. bovis
ERR2815578	M. bovis
ERR2815577	M. bovis
ERR2815576	M. bovis
ERR2815575	M. bovis
ERR2815574	M. bovis
ERR2815573	M. bovis
ERR2815572	M. bovis
ERR2815571	M. bovis
ERR2815570	M. bovis
ERR2815568	M. bovis
ERR2815567	M. bovis
ERR2815566	M. bovis
